weight,Time,Chick,Diet
42,0,1,1
51,2,1,1
59,4,1,1
64,6,1,1
76,8,1,1
93,10,1,1
106,12,1,1
125,14,1,1
149,16,1,1
171,18,1,1
199,20,1,1
205,21,1,1
40,0,2,1
49,2,2,1
58,4,2,1
72,6,2,1
84,8,2,1
103,10,2,1
122,12,2,1
138,14,2,1
162,16,2,1
187,18,2,1
209,20,2,1
215,21,2,1
43,0,3,2
39,2,3,2
55,4,3,2
67,6,3,2
84,8,3,2
99,10,3,2
115,12,3,2
138,14,3,2
163,16,3,2
187,18,3,2
198,20,3,2
214,21,3,2
41,0,4,2
47,2,4,2
54,4,4,2
65,6,4,2
79,8,4,2
91,10,4,2
110,12,4,2
128,14,4,2
150,16,4,2
175,18,4,2
196,20,4,2
210,21,4,2
